site,country,label,method,n_cal,n_repeats,ece_mean,ece_median,ece_q90,n_positive,reliable_estimate
code15_like,BR,SB,prior_correction,800,20,0.09362754979590729,0.09401824800084366,0.09710987174874393,100,True
code15_like,BR,SB,temperature,800,20,0.05123138219030206,0.051897044403618926,0.053780386248786026,100,True
code15_like,BR,SB,platt,800,20,0.010087298362268873,0.009065287911263991,0.01623169354172721,100,True
code15_like,BR,SB,isotonic,800,20,0.010740343502031246,0.009496098907794234,0.014728410173442992,100,True
code15_like,BR,SB,hybrid,800,20,0.10044554154687116,0.10069511581879886,0.10493001526016012,100,True
code15_like,BR,STACH,identity,0,1,0.00968705688857102,0.00968705688857102,0.00968705688857102,66,True
code15_like,BR,STACH,prior_correction,0,1,0.02642113690952762,0.02642113690952762,0.02642113690952762,66,True
code15_like,BR,STACH,temperature,0,20,0.0096750097719913,0.009684594853851208,0.009688461204378496,66,True
code15_like,BR,STACH,platt,0,20,0.0096750097719913,0.009684594853851208,0.009688461204378496,66,True
code15_like,BR,STACH,isotonic,0,20,0.0096750097719913,0.009684594853851208,0.009688461204378496,66,True
code15_like,BR,STACH,hybrid,0,20,0.0096750097719913,0.009684594853851208,0.009688461204378496,66,True
code15_like,BR,STACH,identity,25,20,0.009675122021814881,0.00977263665514989,0.009798535501835933,66,True
code15_like,BR,STACH,prior_correction,25,20,0.02474397624508509,0.026645135244247074,0.02666666666666667,66,True
code15_like,BR,STACH,temperature,25,20,0.011254529985024702,0.009798095995337272,0.01118525570215057,66,True
code15_like,BR,STACH,platt,25,20,0.012567667750367925,0.009798095995337272,0.01204306808404951,66,True
code15_like,BR,STACH,isotonic,25,20,0.0199596653111175,0.026650515925839207,0.02666666666666667,66,True
code15_like,BR,STACH,hybrid,25,20,0.024723058985701374,0.026649515925839206,0.026665666666666667,66,True
code15_like,BR,STACH,identity,50,20,0.0096182931160391,0.009670033007958507,0.009897476254600822,66,True
code15_like,BR,STACH,prior_correction,50,20,0.025886856410766733,0.02632111841064455,0.026938775510204082,66,True
code15_like,BR,STACH,temperature,50,20,0.011050401146138266,0.010013871079962709,0.013474451061801002,66,True
