site,country,label,n,n_positive,pi_s,pi_t_true,pi_t_bbse,prior_ratio,total,d_label,d_concept,interaction,residual,label_shift_share,label_shift_share_bbse,free_fraction,free_fraction_bbse,realized_gain,realized_gain_bbse,ece_before,ece_after_prior_fix,ece_l1,d_label_l1,d_concept_l1,sign_agreement,gamma_min,gof_p,concept_shift_detected,bbse_degenerate,prior_ratio_implausible,bbse_sigma_min,bbse_trustworthy,reliable_estimate
code15_like,BR,RBBB,5000,126,0.07037037037037037,0.0252,0.11027806625267579,0.3581052631578947,-4.095194719421884e-05,9.366077352055731e-08,-3.933724127301962e-05,-1.7083666947197708e-06,0.0,,,,,,,0.0006422756694241886,0.0007213739606268007,0.0006422756694241886,7.909829120261213e-05,0.0007213739606268007,0.9332,0.1062769230769231,0.001996007984031936,True,False,False,0.06868348199411263,False,True
code15_like,BR,LBBB,5000,57,0.03271604938271605,0.0114,0.31224423607667534,0.34845283018867923,-2.8391835510772377e-05,1.271793525864346e-11,-2.83918614714892e-05,1.3242781560662642e-11,3.3881317890172014e-21,,,,,,,1.4015909180243655e-06,4.798761426593175e-07,1.4015909180243655e-06,9.217147753650479e-07,4.798761426593175e-07,1.0,0.6993714285714286,0.001996007984031936,True,False,False,0.03255260413504653,False,True
code15_like,BR,SB,5000,210,0.0808641975308642,0.042,0.0847210775132564,0.5193893129770992,0.0016610770198304042,0.0017319305953743095,0.00039466030832090745,-0.00046551388386481296,2.168404344971009e-19,1.0,0.006370399429829583,1.0,0.006370399429829583,0.2823158920533349,-0.07544326864874988,0.01347031374979842,0.009667430107285777,0.01347031374979842,0.015764845672063047,0.009667430107285777,0.7334,0.43870229007633577,0.001996007984031936,True,False,False,0.06288299562501322,False,True
code15_like,BR,STACH,5000,133,0.10123456790123457,0.0266,0.0,0.26275609756097557,0.0013487676731761104,0.0006663230772109618,0.003943412409348024,-0.0032609678133828754,6.505213034913027e-19,0.4940236116735274,1.0,0.4940236116735274,1.0,-0.6581051160518385,-1.692193435002464,0.009880419309460077,0.016382773805753127,0.009880419309460077,0.0068386307968220416,0.016382773805753127,0.9332,0.5167058823529412,0.001996007984031936,True,True,True,0.07156874687662977,False,True
korea_like,KR,AF,5000,24,0.12160493827160494,0.0048,0.0,0.039472081218274106,0.0008300837863843333,0.0015630454266679045,0.0001124054764338911,-0.0008453671167174621,-2.168404344971009e-19,1.0,1.0,1.0,1.0,0.7505158003561412,0.6955790781613282,0.015767641629256233,0.003933777452146181,0.015767641629256233,0.019451440996463298,0.003933777452146181,0.6666000000000001,0.5776674631061138,0.001996007984031936,True,True,True,0.06799145615477863,False,False
korea_like,KR,IAVB,5000,53,0.07530864197530865,0.0106,0.05728223849351613,0.14075409836065572,0.006146183704595988,0.005637078547621709,2.2149067341740915e-05,0.0004869560896325383,0.0,0.9171672729870438,0.06540049630841185,0.9171672729870438,0.06540049630841185,0.9102747658582976,0.27176828170353856,0.0635066398830755,0.00569814813306173,0.0635066398830755,0.06332018105191332,0.00569814813306173,0.5334000000000001,0.1675636363636363,0.001996007984031936,True,False,False,0.014823404671683702,False,True
korea_like,KR,RBBB,5000,109,0.07037037037037037,0.0218,0.14619517004973376,0.3097894736842105,-4.410098721475967e-05,2.1104596652857106e-121,-4.410098721475967e-05,1.7611732799314257e-121,0.0,,,,,,,1.680241635891854e-61,4.946758376434187e-62,1.680241635891854e-61,1.1855657982484354e-61,4.946758376434187e-62,1.0,0.6247384615384616,0.001996007984031936,True,False,False,0.06868348199411263,False,True
korea_like,KR,LBBB,5000,6,0.03271604938271605,0.0012,0.0,0.036679245283018864,-3.538868209526892e-06,2.752884318367915e-20,-3.5388682095268645e-06,-5.521063920759483e-20,0.0,,,,,,,1.1913019744219738e-13,4.300183910542213e-11,1.1913019744219738e-13,4.2882708940235966e-11,4.300183910542213e-11,0.9332,0.45589891512444153,0.001996007984031936,True,True,True,0.03255260413504653,False,False
korea_like,KR,SB,5000,580,0.0808641975308642,0.116,0.30928566893797205,1.4345038167938933,0.014475887793407433,0.001097253118995886,0.021239699176593983,-0.007861064502182429,-6.938893903907228e-18,0.07579867533206452,1.0,0.07579867533206452,1.0,-0.290291285542049,-1.2506566876553804,0.059114832392122854,0.07627535308183496,0.059114832392122854,0.017160520689712102,0.07627535308183496,0.0,0.7108100840336135,0.001996007984031936,True,False,False,0.06288299562501322,False,True
korea_like,KR,STACH,5000,51,0.10123456790123457,0.0102,0.0,0.10075609756097562,-1.7262148202182766e-05,4.076923351621642e-05,6.113145271802917e-05,-0.00011916283443642836,-1.0164395367051604e-20,,,,,,,0.0007930228978757844,0.0024147661299589542,0.0007930228978757842,0.0016786133830669517,0.002414766129958954,0.9331999999999998,0.7853743444365697,0.001996007984031936,True,True,True,0.07156874687662977,False,True
