site,country,label,method,alpha,n_cal,pi_t_oracle,pi_t_bbse,coverage_mean,coverage_p05,coverage_sd,review_rate,mean_set_size,valid,n_positive,reliable_estimate
code15_like,BR,LBBB,hybrid_g0.05,0.1,100,0.0114,0.31224423607667534,0.9554,0.9548979591836735,0.0003219319026401834,0.04460000000000001,0.9554,True,57,True
code15_like,BR,SB,split_target,0.1,100,0.042,0.0847210775132564,0.9017714285714286,0.8450816326530612,0.0264800598440809,0.0816,0.9183999999999999,True,210,True
code15_like,BR,SB,weighted_source,0.1,100,0.042,0.0847210775132564,0.8621142857142859,0.861,0.0005869041458944949,0.13167755102040815,0.8683224489795919,False,210,True
code15_like,BR,SB,weighted_source_oracle,0.1,100,0.042,0.0847210775132564,0.8139591836734695,0.8127448979591837,0.0006866368914800377,0.18444081632653064,0.8155591836734694,False,210,True
code15_like,BR,SB,hybrid_g0,0.1,100,0.042,0.0847210775132564,0.8621142857142859,0.861,0.0005869041458944949,0.13167755102040815,0.8683224489795919,False,210,True
code15_like,BR,SB,hybrid_g0.02,0.1,100,0.042,0.0847210775132564,0.8865551020408162,0.8854897959183673,0.0006062839062082404,0.10260408163265307,0.8973959183673472,False,210,True
code15_like,BR,SB,hybrid_g0.05,0.1,100,0.042,0.0847210775132564,0.9233959183673471,0.9224489795918367,0.0005223214129974394,0.05397551020408163,0.9460244897959185,True,210,True
code15_like,BR,STACH,split_target,0.1,100,0.0266,0.0,0.9010040816326531,0.8635612244897959,0.024205418278816792,0.09899591836734695,0.9010040816326531,True,133,True
code15_like,BR,STACH,weighted_source,0.1,100,0.0266,0.0,0.9639877551020409,0.963469387755102,0.00034200574560839956,0.03541632653061225,0.9645836734693879,True,133,True
code15_like,BR,STACH,weighted_source_oracle,0.1,100,0.0266,0.0,0.964595918367347,0.9640816326530612,0.0003420788055470565,0.03460816326530612,0.965391836734694,True,133,True
code15_like,BR,STACH,hybrid_g0,0.1,100,0.0266,0.0,0.9639877551020409,0.963469387755102,0.00034200574560839956,0.03541632653061225,0.9645836734693879,True,133,True
code15_like,BR,STACH,hybrid_g0.02,0.1,100,0.0266,0.0,0.9684285714285714,0.9679591836734693,0.00032461170858340933,0.030575510204081634,0.9694244897959183,True,133,True
code15_like,BR,STACH,hybrid_g0.05,0.1,100,0.0266,0.0,0.9756244897959182,0.9753061224489796,0.00031920350687375326,0.021183673469387754,0.978816326530612,True,133,True
korea_like,KR,AF,split_target,0.1,100,0.0048,0.0,0.9036122448979591,0.8471632653061224,0.03308830460612363,0.09525306122448979,0.9047469387755102,True,24,False
korea_like,KR,AF,weighted_source,0.1,100,0.0048,0.0,0.9732081632653062,0.9727448979591837,0.0004041434708403824,0.024804081632653064,0.9751959183673471,True,24,False
korea_like,KR,AF,weighted_source_oracle,0.1,100,0.0048,0.0,0.9752040816326532,0.9746938775510204,0.00037686092474733895,0.02280816326530612,0.977191836734694,True,24,False
korea_like,KR,AF,hybrid_g0,0.1,100,0.0048,0.0,0.9732081632653062,0.9727448979591837,0.0004041434708403824,0.024804081632653064,0.9751959183673471,True,24,False
korea_like,KR,AF,hybrid_g0.02,0.1,100,0.0048,0.0,0.9794122448979592,0.9789795918367347,0.00034061462930653574,0.01839591836734694,0.981604081632653,True,24,False
korea_like,KR,AF,hybrid_g0.05,0.1,100,0.0048,0.0,0.9870081632653062,0.986734693877551,0.00026954231805876336,0.010404081632653061,0.9895959183673471,True,24,False
