site,country,label,method,n_cal,n_repeats,n_failed,ece_mean,ece_median,ece_q90,n_positive,reliable_estimate
ptbxl_like,DE,LBBB,prior_correction,800,20,0,4.307688374831465e-06,4.7842002967239295e-06,4.791253990614393e-06,131,True
ptbxl_like,DE,LBBB,prior_correction_gated,800,20,0,4.886522352079287e-07,5.427102677018065e-07,5.434967132664271e-07,131,True
ptbxl_like,DE,LBBB,prior_correction_minimax,800,20,0,0.009871197542297767,0.009911129667563145,0.010495362877746587,131,True
ptbxl_like,DE,LBBB,temperature,800,20,0,6.088859017920612e-08,1.2432847014062776e-08,1.7823978263054042e-07,131,True
ptbxl_like,DE,LBBB,platt,800,20,0,1.7058275737884266e-07,7.778857260935801e-08,4.0680395019393465e-07,131,True
ptbxl_like,DE,LBBB,isotonic,800,20,0,4.843041201999312e-07,5.395308078845473e-07,5.432049813739598e-07,131,True
ptbxl_like,DE,LBBB,hybrid,800,20,0,8.656568682686993e-07,4.34241991772652e-07,3.631822513200031e-06,131,True
ptbxl_like,DE,LBBB,hybrid_minimax,800,20,0,0.006745665500442621,0.007229218946860686,0.008337545202111251,131,True
ptbxl_like,DE,SB,identity,0,1,0,0.08006917831687992,0.08006917831687992,0.08006917831687992,133,True
ptbxl_like,DE,SB,prior_correction,0,1,0,0.10195571223160829,0.10195571223160829,0.10195571223160829,133,True
ptbxl_like,DE,SB,prior_correction_gated,0,1,0,0.08006917831687992,0.08006917831687992,0.08006917831687992,133,True
ptbxl_like,DE,SB,prior_correction_minimax,0,1,0,0.061078624335619836,0.061078624335619836,0.061078624335619836,133,True
ptbxl_like,DE,SB,temperature,0,20,0,0.08005303202323429,0.08006917073334642,0.08006917917008496,133,True
ptbxl_like,DE,SB,platt,0,20,0,0.08005303202323429,0.08006917073334642,0.08006917917008496,133,True
ptbxl_like,DE,SB,isotonic,0,20,0,0.08005303202323429,0.08006917073334642,0.08006917917008496,133,True
ptbxl_like,DE,SB,hybrid,0,20,0,0.08005303202323429,0.08006917073334642,0.08006917917008496,133,True
ptbxl_like,DE,SB,hybrid_minimax,0,20,0,0.08005303202323429,0.08006917073334642,0.08006917917008496,133,True
ptbxl_like,DE,SB,identity,25,20,0,0.07991158039426641,0.07988284766405927,0.08017426833271811,133,True
ptbxl_like,DE,SB,prior_correction,25,20,0,0.10177973740601538,0.10175751365896579,0.10208598990524934,133,True
ptbxl_like,DE,SB,prior_correction_gated,25,20,0,0.07991158039426641,0.07988284766405927,0.08017426833271811,133,True
ptbxl_like,DE,SB,prior_correction_minimax,25,20,0,0.06093978322894139,0.06089711720493948,0.06118977751359869,133,True
ptbxl_like,DE,SB,temperature,25,20,0,0.09225508168598434,0.08549470654791103,0.11763099201155265,133,True
ptbxl_like,DE,SB,platt,25,20,0,0.05297023690482909,0.06002758587181008,0.08029454502288712,133,True
ptbxl_like,DE,SB,isotonic,25,20,0,0.026698116270526328,0.026733668341708542,0.03978856230804165,133,True
ptbxl_like,DE,SB,hybrid,25,20,0,0.11759418745770658,0.10988713951323487,0.1485948030170511,133,True
ptbxl_like,DE,SB,hybrid_minimax,25,20,0,0.07066957285480592,0.06551753797946824,0.09068683300192677,133,True
ptbxl_like,DE,SB,identity,50,20,0,0.07995225236051912,0.07988075464983756,0.0804332481613078,133,True
ptbxl_like,DE,SB,prior_correction,50,20,0,0.10182435172856563,0.10178958935750468,0.10232147891112348,133,True
ptbxl_like,DE,SB,prior_correction_gated,50,20,0,0.07995225236051912,0.07988075464983756,0.0804332481613078,133,True
ptbxl_like,DE,SB,prior_correction_minimax,50,20,0,0.06097915000791726,0.06093866341933098,0.0614037531807048,133,True
ptbxl_like,DE,SB,temperature,50,20,0,0.08999011869092437,0.08713871870638612,0.10914119616324924,133,True
ptbxl_like,DE,SB,platt,50,20,0,0.041180713709256675,0.026253759370797103,0.07981581066777171,133,True
ptbxl_like,DE,SB,isotonic,50,20,0,0.02242616243312446,0.026868686868686868,0.03130662846034415,133,True
ptbxl_like,DE,SB,hybrid,50,20,0,0.11539571405387139,0.11251592765912591,0.13667404251061674,133,True
ptbxl_like,DE,SB,hybrid_minimax,50,20,0,0.0685218333023459,0.06404374409919167,0.08366515981173475,133,True
ptbxl_like,DE,SB,identity,100,20,0,0.07989346136790014,0.07981425517188831,0.08067941216438092,133,True
ptbxl_like,DE,SB,prior_correction,100,20,0,0.10175059004793315,0.10170416915412157,0.10253909621237643,133,True
ptbxl_like,DE,SB,prior_correction_gated,100,20,0,0.07989346136790014,0.07981425517188831,0.08067941216438092,133,True
ptbxl_like,DE,SB,prior_correction_minimax,100,20,0,0.060913639439186616,0.060949746453613105,0.06168365472951595,133,True
ptbxl_like,DE,SB,temperature,100,20,0,0.09457589524814082,0.0953745722768145,0.10441848028458461,133,True
ptbxl_like,DE,SB,platt,100,20,0,0.023132412385773245,0.018195273100763475,0.03548905167386934,133,True
ptbxl_like,DE,SB,isotonic,100,20,0,0.017189638117098918,0.017633237571117656,0.027293155975208632,133,True
ptbxl_like,DE,SB,hybrid,100,20,0,0.12198468187399807,0.1236329970303075,0.13256623149509517,133,True
ptbxl_like,DE,SB,hybrid_minimax,100,20,0,0.07125953847115181,0.07154928087685691,0.07915702885355048,133,True
ptbxl_like,DE,SB,identity,200,20,0,0.0797881654907958,0.07974783512876185,0.08056130278261193,133,True
ptbxl_like,DE,SB,prior_correction,200,20,0,0.10164221994352433,0.10157095647082456,0.10242613269205873,133,True
ptbxl_like,DE,SB,prior_correction_gated,200,20,0,0.0797881654907958,0.07974783512876185,0.08056130278261193,133,True
ptbxl_like,DE,SB,prior_correction_minimax,200,20,0,0.060794191603215864,0.060692665387545475,0.06161520503882761,133,True
ptbxl_like,DE,SB,temperature,200,20,0,0.09607071629154693,0.09648688020527049,0.10043164682172788,133,True
ptbxl_like,DE,SB,platt,200,20,0,0.015139243140057657,0.011875918929994875,0.01863705330797046,133,True
ptbxl_like,DE,SB,isotonic,200,20,0,0.01190769433687771,0.011790025977175635,0.0208261695724086,133,True
ptbxl_like,DE,SB,hybrid,200,20,0,0.12418260730501818,0.12439649997882334,0.12995233368626252,133,True
